prompt
perfect loop
made in 10 minutes
glitch art
intersections
debug view
steal like an artist
sample a color palette from your favorite movie
signed distance functions
plants
generative music
suprematism
tessellation
something you’ve always wanted to learn
aesemic
sine waves
reflection of a reflection
a grid inside a grid inside a grid
definitely not a grid
black and white
art deco
persian rug
shadows
more moiré
textile
yayoi kusama
my kid could have made that
in the style of hilma af klint
generative poetry
maximalism
minimalism
remix
